City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,haapajarvi,63.75,25.3333,-0.86,94,100,3.1,FI,1702953961
181,wailua homesteads,22.0669,-159.378,26.24,78,75,10.29,US,1702954062
182,tiksi,71.6872,128.8694,-18.53,90,100,6.13,RU,1702954062
183,gebeit,21.0667,36.3167,16.74,65,2,2.79,SD,1702953961
184,cheat lake,39.672,-79.8534,0.53,90,100,3.09,US,1702953961
185,longyearbyen,78.2186,15.6401,-4.09,68,20,5.66,SJ,1702953893
186,vilyuysk,63.7553,121.6247,-25.56,98,100,2.68,RU,1702954062
187,reggane,26.7158,0.1714,8.65,49,0,3.56,DZ,1702953961
188,lompoc,34.6391,-120.4579,16.44,89,100,4.63,US,1702954062
189,rensselaer,42.7168,-73.4829,4.69,85,95,3.77,US,1702953893
190,dudinka,69.4058,86.1778,-13.54,83,100,13.41,RU,1702954062
191,kamyshevatskaya,46.4132,37.9563,5.94,92,100,2.54,RU,1702953961
192,najafabad,32.6344,51.3668,-4.7,37,100,1.05,IR,1702953961
193,verkh-chebula,56.0308,87.6218,-29.71,95,34,1.98,RU,1702953961
194,castillos,-34.1667,-53.8333,14.99,94,100,5.63,UY,1702954062
195,avarua,-21.2078,-159.775,26.03,78,75,7.72,CK,1702954062
196,cadale,2.7603,46.3222,25.74,81,85,8.61,SO,1702954062
197,garissa,-0.4536,39.6401,24.72,84,34,2.31,KE,1702953962
198,ati,13.2154,18.3353,21.24,32,99,4.4,TD,1702953962
199,haiku-pauwela,20.9219,-156.3051,25.01,72,40,8.23,US,1702954062
200,kreminna,49.0495,38.2179,1.59,100,100,2.4,UA,1702953962
201,chul'man,56.8479,124.9104,-33.29,97,100,2.13,RU,1702953962
202,taltal,-25.4,-70.4833,18.05,80,5,1.62,CL,1702953621
203,bel ombre,-4.6167,55.4167,25.91,89,20,1.54,SC,1702953962
204,port macquarie,-31.4333,152.9167,29.38,65,68,8.82,AU,1702953783
205,guarapari,-20.6667,-40.4975,22.72,94,24,1.75,BR,1702953939
206,pantai remis,4.4557,100.6288,28.01,78,100,1.22,MY,1702953962
207,qaqortoq,60.7167,-46.0333,-5.07,83,100,4.42,GL,1702954063
208,berezovyy,51.6667,135.7,-18.85,88,99,1.08,RU,1702953962
209,uige,-7.6087,15.0613,20.19,97,100,0.96,AO,1702953962
210,touros,-5.1989,-35.4608,26.43,79,100,3.92,BR,1702953923
211,xique xique,-10.8217,-42.7311,24.6,66,85,2.01,BR,1702953963
212,n'zeto,-7.2312,12.8666,25.78,90,100,2.36,AO,1702953963
213,massawa,15.6097,39.45,25.74,73,14,1.17,ER,1702953963
214,igarka,67.4667,86.5833,-18.22,85,100,11.58,RU,1702954063
215,kourou,5.1552,-52.6478,26.03,91,24,2.77,GF,1702953963
216,acarau,-2.8856,-40.12,26.18,86,100,3.69,BR,1702953963
217,san patricio,28.017,-97.5169,16.92,59,99,3.55,US,1702954064
218,marka,1.7159,44.7717,25.29,82,41,6.57,SO,1702953963
219,fort mcmurray,56.7268,-111.381,-2.27,59,0,4.12,CA,1702954064
220,boguchany,58.3814,97.4531,-32.3,100,11,0.45,RU,1702953963
221,baikonur,45.6167,63.3167,-3.59,83,67,4.84,KZ,1702953963
222,devrek,41.2192,31.9558,5.35,76,8,1.67,TR,1702953963
223,cidreira,-30.1811,-50.2056,23.0,91,100,4.66,BR,1702953963
224,la union,-5.4,-80.75,23.81,72,78,6.79,PE,1702953963
225,tsiombe,-25.3,45.4833,23.04,85,46,2.9,MG,1702954064
226,urumqi,43.801,87.6005,-23.47,84,75,1.0,CN,1702953963
227,tqvarch'eli,42.8404,41.6801,4.26,84,94,1.52,GE,1702953963
228,broome,42.2506,-75.833,2.94,85,49,2.24,US,1702953964
229,leava,-14.3,-178.1667,28.83,76,72,6.05,WF,1702953964
230,tocopilla,-22.092,-70.1979,19.37,81,30,0.4,CL,1702953964
231,kyrenia,35.3417,33.3167,8.75,48,0,2.13,CY,1702953964
232,extrema,-22.8547,-46.3183,17.59,91,11,1.42,BR,1702953964
233,happy valley-goose bay,53.3168,-60.3315,9.17,71,100,9.26,CA,1702954064
234,kadnikov,59.5022,40.338,-2.88,92,99,3.92,RU,1702953964
235,swakopmund,-22.6833,14.5333,16.66,85,99,4.02,NA,1702953964
236,okha,53.5739,142.9478,-19.27,91,79,8.9,RU,1702953964
237,gurupi,-11.7292,-49.0686,24.74,72,89,3.11,BR,1702953964
238,chilca,-12.5211,-76.7372,20.17,92,90,3.07,PE,1702953964
239,homosassa springs,28.8036,-82.5759,12.3,80,0,1.54,US,1702953964
240,zarechnyy,53.2036,45.1923,0.41,88,100,4.92,RU,1702953964
241,tarawa,1.419,172.984,26.05,94,100,5.66,KI,1702953964
242,gazojak,41.1875,61.4036,-2.18,66,0,2.75,TM,1702953964
243,punta arenas,-53.15,-70.9167,11.06,71,75,6.17,CL,1702954066
244,eirunepe,-6.6603,-69.8736,24.3,92,99,0.92,BR,1702954066
245,kanggye,40.9695,126.5852,-8.27,84,100,0.92,KP,1702953964
246,princeville,45.7668,-61.2985,13.57,94,100,13.38,CA,1702953965
247,remire-montjoly,4.9167,-52.2667,26.02,94,20,0.0,GF,1702954066
248,luang namtha,20.9497,101.4011,17.01,100,100,1.03,LA,1702953966
249,kavaratti,10.5669,72.642,24.58,91,100,1.58,IN,1702953966
250,waingapu,-9.6567,120.2641,29.27,59,100,1.79,ID,1702953966
251,sanctuary point,-35.1114,150.629,24.86,61,100,5.96,AU,1702953966
